player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Munir,GK,Morocco,33-222,Al-Wehda,1989,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Musab Kheder,DF,Qatar,29-083,Al Sadd SC,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Na Sang-ho,FW,Korea Republic,26-128,FC Seoul,1996,2,1,119,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.03,0.09,0.12,0.03,0.12
Nader Ghandri,DF,Tunisia,27-303,Club Africain,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nahuel Molina,DF,Argentina,24-256,Atlético Madrid,1998,7,6,567,6.3,1,1,1,0,0,0,0,0.16,0.16,0.32,0.16,0.32,0.5,0.5,0.3,0.8,0.07,0.05,0.12,0.07,0.12
Nampalys Mendy,MF,Senegal,30-178,Leicester City,1992,4,3,272,3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0.01,0.03,0.02,0.03
Nasser Al-Dawsari,FW,Saudi Arabia,23-364,Al-Hilal,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1.27,1.27,0,1.27
Nathan Aké,DF,Netherlands,27-303,Manchester City,1995,5,5,479,5.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Atkinson,DF,Australia,23-188,Hearts,1999,1,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nawaf Al Abed,MF,Saudi Arabia,32-326,Al-Shabab,1990,2,0,88,1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.13,0.06,0.2,0.13,0.2
Nayef Aguerd,DF,Morocco,26-263,West Ham,1996,4,4,353,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.04,0.01,0.05,0.04,0.05
Naïm Sliti,MF,Tunisia,30-144,Al-Ettifaq,1992,2,1,114,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0.11,0.1,0.21,0.11,0.21
Neco Williams,DF,Wales,21-249,Nott'ham Forest,2001,3,3,204,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.04,0.03,0.07,0.04,0.07
Nemanja Gudelj,MF,Serbia,31-032,Sevilla,1991,2,1,92,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemanja Maksimović,MF,Serbia,27-326,Getafe,1995,3,1,122,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0.07,0,0.07
Nemanja Radonjić,DF,Serbia,26-306,Torino,1996,3,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.15,0.05,0.19,0.15,0.19
Neymar,MF,Brazil,30-316,Paris S-G,1992,3,3,279,3.1,2,0,1,1,1,0,0,0.65,0,0.65,0.32,0.32,2.7,1.9,0.8,2.7,0.98,0.29,1.27,0.7,0.98
Niclas Füllkrug,FW,Germany,29-312,Werder Bremen,1993,3,0,69,0.8,2,1,2,0,0,0,0,2.61,1.3,3.91,2.61,3.91,2.2,2.2,0.6,2.8,2.86,0.76,3.62,2.86,3.62
Nico Elvedi,DF,Switzerland,26-079,M'Gladbach,1996,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04
Nico Schlotterbeck,DF,Germany,23-017,Dortmund,1999,2,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0.07,0,0.07
Nico Williams,FW,Spain,20-159,Athletic Club,2002,4,1,146,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.07,0,0.07,0.07,0.07
Nicola Zalewski,MF,Poland,20-329,Roma,2002,2,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Jackson,FW,Senegal,21-181,Villarreal,2001,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Nkoulou,DF,Cameroon,32-266,Aris,1990,2,2,180,2,0,1,0,0,0,1,0,0,0.5,0.5,0,0.5,0.3,0.3,0,0.3,0.14,0,0.14,0.14,0.14
Nicolás De La Cruz,MF,Uruguay,25-200,River Plate,1997,2,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.09,0.09,0.09
Nicolás Otamendi,DF,Argentina,34-309,Benfica,1988,7,7,690,7.7,0,1,0,0,0,2,0,0,0.13,0.13,0,0.13,0,0,0.2,0.2,0,0.02,0.03,0,0.03
Nicolás Tagliafico,DF,Argentina,30-109,Lyon,1992,6,3,373,4.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,1.2,0.26,0.05,0.31,0.26,0.31
Niklas Süle,DF,Germany,27-106,Dortmund,1995,3,3,269,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04
Nikola Milenković,DF,Serbia,25-067,Fiorentina,1997,3,3,270,3,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0,0.06,0.06,0.06
Nikola Vlašić,FW,Croatia,25-075,Torino,1997,6,1,209,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,0.25,0,0.25,0.25,0.25
Noa Lang,MF,Netherlands,23-184,Club Brugge,1999,1,0,8,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
Noah Okafor,FW,Switzerland,22-208,RB Salzburg,2000,3,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0.09,0.14,0.05,0.14
Nouhou Tolo,DF,Cameroon,25-178,Seattle,1997,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noussair Mazraoui,DF,Morocco,25-034,Bayern Munich,1997,5,5,365,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.04,0.01,0.04,0.04,0.04
Nuno Mendes,DF,Portugal,20-182,Paris S-G,2002,1,1,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04
Néstor Araujo,DF,Mexico,31-111,América,1991,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olivier Giroud,FW,France,36-079,Milan,1986,6,6,419,4.7,4,0,4,0,0,1,0,0.86,0,0.86,0.86,0.86,3.4,3.4,0.1,3.5,0.72,0.03,0.76,0.72,0.76
Olivier Ntcham,MF,Cameroon,26-312,Swansea City,1996,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.16,0.09,0.25,0.16,0.25
Orbelín Pineda,MF,Mexico,26-269,AEK Athens,1996,1,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.38,0.07,0.45,0.38,0.45
Osman Bukari,MF,Ghana,24-005,Red Star,1998,2,0,59,0.7,1,0,1,0,0,0,0,1.53,0,1.53,1.53,1.53,0.5,0.5,0.1,0.6,0.76,0.09,0.85,0.76,0.85
Otávio,MF,Portugal,27-312,Porto,1995,3,3,196,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.05,0.17,0.23,0.05,0.23
Ousmane Dembélé,FW,France,25-217,Barcelona,1997,7,6,433,4.8,0,2,0,0,0,1,0,0,0.42,0.42,0,0.42,0.5,0.5,1.6,2.1,0.1,0.34,0.44,0.1,0.44
Pablo Sarabia,FW,Spain,30-221,Paris S-G,1992,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,,,,,
Paik Seung-ho,MF,Korea Republic,25-276,Jeonbuk,1997,1,0,26,0.3,1,0,1,0,0,0,0,3.46,0,3.46,3.46,3.46,0,0,0,0,0.15,0,0.15,0.15,0.15
Pape Abou Cissé,DF,Senegal,27-095,Olympiacos,1995,3,1,105,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pape Gueye,MF,Senegal,23-328,Marseille,1999,3,1,153,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.07,0.11,0.18,0.07,0.18
Pape Matar Sarr,MF,Senegal,20-095,Tottenham,2002,2,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,0.18,0.05,0.23,0.18,0.23
Papu Gómez,MF,Argentina,34-306,Sevilla,1988,2,2,107,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03
Pathé Ciss,MF,Senegal,28-277,Rayo Vallecano,1994,3,2,146,1.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Pau Torres,DF,Spain,25-336,Villarreal,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paulo Dybala,FW,Argentina,29-033,Roma,1993,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,1.03,1.03,0,1.03
Pedri,MF,Spain,20-023,Barcelona,2002,4,4,356,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0.22,0.22,0,0.22
Pedro,FW,Brazil,25-181,Flamengo,1997,2,0,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,1.39,0,1.39,1.39,1.39
Pepe,DF,Portugal,39-295,Porto,1983,4,4,360,4,1,0,1,0,0,0,0,0.25,0,0.25,0.25,0.25,0.4,0.4,0,0.4,0.11,0,0.11,0.11,0.11
Pervis Estupiñán,DF,Ecuador,24-331,Brighton,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,0.02,0.09,0.11,0.02,0.11
Phil Foden,FW,England,22-204,Manchester City,2000,4,3,258,2.9,1,2,1,0,0,0,0,0.35,0.7,1.05,0.35,1.05,1.1,1.1,0.6,1.6,0.38,0.2,0.57,0.38,0.57
Piero Hincapié,DF,Ecuador,20-343,Leverkusen,2002,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Højbjerg,MF,Denmark,27-135,Tottenham,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02
Pierre Kunde,MF,Cameroon,27-145,Olympiacos,1995,2,2,131,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.15,0.05,0.2,0.15,0.2
Piotr Zieliński,MF,Poland,28-212,Napoli,1994,4,4,328,3.6,1,0,1,0,0,0,0,0.27,0,0.27,0.27,0.27,0.6,0.6,0.4,1,0.16,0.11,0.26,0.16,0.26
Przemysław Frankowski,MF,Poland,27-250,Lens,1995,4,3,240,2.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.3,0.01,0.09,0.11,0.01,0.11
Rafael Leão,FW,Portugal,23-191,Milan,1999,5,0,88,1,2,0,2,0,0,0,0,2.05,0,2.05,2.05,2.05,0.4,0.4,0.2,0.6,0.42,0.16,0.57,0.42,0.57
Raheem Sterling,FW,England,28-010,Chelsea,1994,3,2,149,1.7,1,1,1,0,0,0,0,0.6,0.6,1.21,0.6,1.21,0.4,0.4,0.1,0.5,0.22,0.09,0.31,0.22,0.31
Ramin Rezaeian,DF,IR Iran,32-272,Sepahan,1990,2,2,180,2,1,0,1,0,0,1,0,0.5,0,0.5,0.5,0.5,0.3,0.3,0.3,0.5,0.13,0.14,0.27,0.13,0.27
Randal Kolo Muani,FW,France,24-013,Eint Frankfurt,1998,3,1,182,2,1,0,1,0,0,0,0,0.49,0,0.49,0.49,0.49,1.1,1.1,0,1.1,0.65,0,0.65,0.65,0.65
Raphaël Guerreiro,DF,Portugal,28-361,Dortmund,1993,4,3,279,3.1,1,2,1,0,0,0,0,0.32,0.65,0.97,0.32,0.97,0.4,0.4,0.6,1,0.12,0.19,0.31,0.12,0.31
Raphaël Varane,DF,France,29-237,Manchester Utd,1993,6,6,518,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.06,0,0.06,0.06,0.06
Raphinha,FW,Brazil,26-004,Barcelona,1996,5,4,315,3.5,0,1,0,0,0,0,0,0,0.29,0.29,0,0.29,1.2,1.2,1.3,2.5,0.35,0.38,0.72,0.35,0.72
Rasmus Nissen,DF,Denmark,25-160,Leeds United,1997,3,3,224,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Raúl Jiménez,FW,Mexico,31-227,Wolves,1991,3,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remo Freuler,MF,Switzerland,30-247,Nott'ham Forest,1992,4,4,323,3.6,1,0,1,0,0,0,0,0.28,0,0.28,0.28,0.28,0.5,0.5,0,0.5,0.14,0,0.14,0.14,0.14
Renato Steffen,FW,Switzerland,31-045,Lugano,1991,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricardo Horta,FW,Portugal,28-094,Braga,1994,3,1,119,1.3,1,0,1,0,0,0,0,0.76,0,0.76,0.76,0.76,0.8,0.8,0.1,0.8,0.58,0.05,0.63,0.58,0.63
Ricardo Rodríguez,DF,Switzerland,30-115,Torino,1992,4,4,359,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.04,0.04,0,0.04
Richarlison,FW,Brazil,25-222,Tottenham,1997,4,4,323,3.6,3,0,3,0,0,0,0,0.84,0,0.84,0.84,0.84,2.1,2.1,1,3.1,0.59,0.27,0.86,0.59,0.86
Richie Laryea,DF,Canada,27-345,Toronto FC,1995,3,2,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0.04,0.3,0.34,0.04,0.34
Riley McGree,FW,Australia,24-046,Middlesbrough,1998,4,4,265,2.9,0,1,0,0,0,0,0,0,0.34,0.34,0,0.34,0.1,0.1,0.6,0.8,0.05,0.22,0.27,0.05,0.27
Ritsu Doan,FW,Japan,24-185,Freiburg,1998,4,2,217,2.4,2,0,2,0,0,0,0,0.83,0,0.83,0.83,0.83,0.5,0.5,0.2,0.7,0.21,0.07,0.28,0.21,0.28
Riyadh Sharahili,MF,Saudi Arabia,29-234,Abha,1993,1,0,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05
Roan Wilson,MF,Costa Rica,20-231,Municipal Grecia,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Lewandowski,FW,Poland,34-119,Barcelona,1988,4,4,360,4,2,1,1,1,2,0,0,0.5,0.25,0.75,0.25,0.5,2.9,1.4,0.4,1.8,0.73,0.1,0.83,0.34,0.44
Robert Skov,DF,Denmark,26-212,Hoffenheim,1996,1,0,22,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roberto Alvarado,FW,Mexico,24-102,Guadalajara,1998,1,0,18,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodri,DF,Spain,26-179,Manchester City,1996,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.01,0.04,0.05,0.01,0.05
Rodrigo Bentancur,MF,Uruguay,25-176,Tottenham,1997,3,3,213,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.1,0.8,0.26,0.06,0.32,0.26,0.32
Rodrigo De Paul,MF,Argentina,28-208,Atlético Madrid,1994,7,7,599,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.3,1.2,0.13,0.05,0.18,0.13,0.18
Rodrygo,MF,Brazil,21-343,Real Madrid,2001,5,1,181,2,0,1,0,0,0,0,0,0,0.5,0.5,0,0.5,0.4,0.4,0.4,0.9,0.26,0.25,0.52,0.26,0.52
Rogelio Funes Mori,FW,Mexico,31-288,Monterrey,1991,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1.23,0,1.23,1.23,1.23
Romain Saïss,DF,Morocco,32-267,Beşiktaş,1990,6,6,466,5.2,1,0,1,0,0,1,0,0.19,0,0.19,0.19,0.19,0.8,0.8,0,0.8,0.16,0,0.16,0.16,0.16
Romario Ibarra,MF,Ecuador,28-085,Pachuca,1994,2,1,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.19,0,0.19,0.19,0.19
Romelu Lukaku,FW,Belgium,29-219,Inter,1993,2,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.7,0,1.8,2.84,0.06,2.9,2.84,2.9
Roozbeh Cheshmi,DF,IR Iran,29-147,Esteghlal,1993,2,1,58,0.6,1,0,1,0,0,0,0,1.55,0,1.55,1.55,1.55,0.1,0.1,0,0.1,0.08,0,0.08,0.08,0.08
Ruben Vargas,FW,Switzerland,24-135,Augsburg,1998,4,4,285,3.2,0,1,0,0,0,1,0,0,0.32,0.32,0,0.32,0.3,0.3,0.6,0.9,0.11,0.19,0.3,0.11,0.3
Rubin Colwill,MF,Wales,20-235,Cardiff City,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.21,0.21,0.21
Ró-Ró,DF,Qatar,32-134,Al Sadd SC,1990,3,3,262,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
Rónald Matarrita,DF,Costa Rica,28-162,FC Cincinnati,1994,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rúben Dias,DF,Portugal,25-218,Manchester City,1997,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Rúben Neves,MF,Portugal,25-280,Wolves,1997,5,4,268,3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0.01,0.04,0.03,0.04
Saad Al Sheeb,GK,Qatar,32-302,Al Sadd SC,1990,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sadegh Moharrami,DF,IR Iran,26-292,Dinamo Zagreb,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saeid Ezatolahi,MF,IR Iran,26-078,Vejle BK,1996,3,2,217,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.04,0.08,0.12,0.04,0.12
Saleh Al-Shehri,FW,Saudi Arabia,29-047,Al-Hilal,1993,3,3,223,2.5,1,0,1,0,0,1,0,0.4,0,0.4,0.4,0.4,0.1,0.1,0.1,0.2,0.03,0.05,0.09,0.03,0.09
Salem Al-Dawsari,MF,Saudi Arabia,31-121,Al-Hilal,1991,3,3,270,3,2,0,2,0,1,1,0,0.67,0,0.67,0.67,0.67,1.8,1,0.2,1.2,0.59,0.08,0.67,0.32,0.4
Salis Abdul Samed,MF,Ghana,22-267,Lens,2000,3,3,250,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02
Salman Al-Faraj,MF,Saudi Arabia,33-139,Al-Hilal,1989,1,1,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Adekugbe,DF,Canada,27-336,Hatayspor,1995,3,1,95,1.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.09,0.09,0,0.09
